entry_idx,exit_idx,entry_price,exit_price,direction,pnl_usd,fee_usd,net_pnl,exit_reason
11705,11706,1.516092615951319,1.516092615951319,SELL,-0.0,0.08,-0.08,signal
11711,11728,1.516092615951319,1.516092615951319,BUY,0.0,0.08,-0.08,signal
11732,11743,1.516092615951319,1.516092615951319,BUY,0.0,0.08,-0.08,signal
11744,11749,1.516092615951319,1.516092615951319,BUY,0.0,0.08,-0.08,signal
11754,11761,1.4817197304139054,1.4817197304139054,SELL,-0.0,0.08,-0.08,signal
12734,12736,1.261423490003366,1.261423490003366,BUY,0.0,0.08,-0.08,signal
12741,12748,1.261423490003366,1.1117793158789495,BUY,-11.8631,0.08,-11.9431,stop
12763,12764,1.1405524592315894,1.0575690457940876,BUY,-7.2757,0.08,-7.3557,stop
12811,12812,1.0290937610683917,1.0290937610683917,BUY,0.0,0.08,-0.08,signal
12855,12856,1.1111835986252354,1.1225022264452833,BUY,1.0186,0.08,0.9386,tp
12860,12863,1.1807038021297005,1.1807038021297005,BUY,0.0,0.08,-0.08,signal
12873,12875,1.2004816149517257,1.2264548872122385,BUY,2.1636,0.08,2.0836,tp
13081,13082,1.1867205463917443,1.1867205463917443,BUY,0.0,0.08,-0.08,signal
13083,13084,1.1867205463917443,1.2359267915457204,BUY,4.1464,0.08,4.0664,tp
13090,13091,1.2359267915457204,1.2359267915457204,BUY,0.0,0.08,-0.08,signal
13092,13093,1.2359267915457204,1.2359267915457204,BUY,0.0,0.08,-0.08,signal
13094,13095,1.2359267915457204,1.2359267915457204,BUY,0.0,0.08,-0.08,signal
13122,13129,1.2272888913672997,1.2272888913672997,BUY,0.0,0.08,-0.08,signal
13232,13234,1.20405591847401,1.235986363271144,BUY,2.6519,0.08,2.5719,tp
13241,13246,1.235986363271144,1.2813204462760646,BUY,3.6678,0.08,3.5878,tp
13280,13292,1.2612447748270958,1.2612447748270958,BUY,0.0,0.08,-0.08,signal
13548,13549,1.1345952866947953,1.1345952866947953,BUY,0.0,0.08,-0.08,signal
13552,13553,1.1632492865967614,1.1632492865967614,BUY,0.0,0.08,-0.08,signal
13555,13556,1.1632492865967614,1.1632492865967614,BUY,0.0,0.08,-0.08,signal
13558,13559,1.1632492865967614,1.1632492865967614,BUY,0.0,0.08,-0.08,signal
13639,13641,1.1997667542473378,1.1997667542473378,BUY,0.0,0.08,-0.08,signal
13661,13662,1.1997667542473378,1.1997667542473378,BUY,0.0,0.08,-0.08,signal
13802,13806,1.0313574866322277,1.0313574866322277,SELL,-0.0,0.08,-0.08,signal
13837,13838,1.052684164313875,1.052684164313875,BUY,0.0,0.08,-0.08,signal
13895,13896,1.1759380641001609,1.1759380641001609,BUY,0.0,0.08,-0.08,signal
14059,14077,1.183801531848771,1.1966094528030171,BUY,1.0819,0.08,1.0019,tp
14078,14083,1.2105492365389214,1.2105492365389214,BUY,0.0,0.08,-0.08,signal
14162,14164,1.3472067745329948,1.3472067745329948,BUY,0.0,0.08,-0.08,signal
14170,14183,1.3472067745329948,1.3472067745329948,BUY,0.0,0.08,-0.08,signal
14250,14252,1.3051491364232417,1.3051491364232417,BUY,0.0,0.08,-0.08,signal
14254,14255,1.3051491364232417,1.3051491364232417,BUY,0.0,0.08,-0.08,signal
14257,14259,1.3051491364232417,1.3051491364232417,BUY,0.0,0.08,-0.08,signal
14291,14292,1.3227823671322771,1.3506023628790091,BUY,2.1031,0.08,2.0231,tp
14300,14301,1.3506023628790091,1.3506023628790091,BUY,0.0,0.08,-0.08,signal
14302,14312,1.3506023628790091,1.3506023628790091,BUY,0.0,0.08,-0.08,signal
14316,14323,1.3227823671322771,1.3227823671322771,BUY,0.0,0.08,-0.08,signal
14330,14336,1.305208708148665,1.305208708148665,BUY,0.0,0.08,-0.08,signal
14418,14430,1.3506619346044324,1.3506619346044324,BUY,0.0,0.08,-0.08,signal
14479,14481,1.3267736727318322,1.3267736727318322,BUY,0.0,0.08,-0.08,signal
14497,14508,1.3793755062318225,1.3793755062318225,BUY,0.0,0.08,-0.08,signal
14512,14513,1.309557444100587,1.309557444100587,BUY,0.0,0.08,-0.08,signal
14514,14521,1.309557444100587,1.309557444100587,BUY,0.0,0.08,-0.08,signal
14796,14798,1.1831462428698067,1.2273484630927227,BUY,3.736,0.08,3.656,tp
14799,14803,1.2273484630927227,1.1618195651879863,BUY,-5.3391,0.08,-5.4191,stop
15140,15141,1.222046579535066,1.222046579535066,BUY,0.0,0.08,-0.08,signal
15159,15160,1.290494491982776,1.290494491982776,BUY,0.0,0.08,-0.08,signal
15186,15187,1.290494491982776,1.290494491982776,BUY,0.0,0.08,-0.08,signal
15194,15195,1.290494491982776,1.290494491982776,BUY,0.0,0.08,-0.08,signal
15203,15204,1.290494491982776,1.290494491982776,BUY,0.0,0.08,-0.08,signal
15647,15648,1.0050863557449443,1.0170007008185329,BUY,1.1854,0.08,1.1054,tp
15820,15823,1.0893803471407213,1.1160089083800249,BUY,2.4444,0.08,2.3644,tp
15828,15830,1.1383483053930032,1.159972841701594,BUY,1.8996,0.08,1.8196,tp
15871,15872,1.2177574153085673,1.2177574153085673,BUY,0.0,0.08,-0.08,signal
15873,15874,1.2177574153085673,1.2177574153085673,BUY,0.0,0.08,-0.08,signal
17386,17388,1.03600408121092,1.03600408121092,BUY,0.0,0.08,-0.08,signal
17538,17540,1.0560797526598888,1.0560797526598888,BUY,0.0,0.08,-0.08,signal
18167,18179,1.1730786212826108,1.1730786212826108,BUY,0.0,0.08,-0.08,signal
18221,18223,1.1730786212826108,1.1730786212826108,BUY,0.0,0.08,-0.08,signal
18278,18285,1.1833845297711536,1.1833845297711536,BUY,0.0,0.08,-0.08,signal
18413,18414,1.1833845297711536,1.1833845297711536,BUY,0.0,0.08,-0.08,signal
18567,18574,1.1833845297711536,1.1833845297711536,BUY,0.0,0.08,-0.08,signal
18575,18576,1.1833845297711536,1.1833845297711536,BUY,0.0,0.08,-0.08,signal
18854,18856,1.119523640176886,1.119523640176886,BUY,0.0,0.08,-0.08,signal
18865,18866,1.119523640176886,1.119523640176886,BUY,0.0,0.08,-0.08,signal
18999,19008,1.2113832406941558,1.2057834985095557,BUY,-0.4623,0.08,-0.5423,signal
19061,19062,1.171768043324509,1.171768043324509,BUY,0.0,0.08,-0.08,signal
19078,19081,1.2113832406941558,1.2113832406941558,BUY,0.0,0.08,-0.08,signal
19082,19089,1.2113832406941558,1.2113832406941558,BUY,0.0,0.08,-0.08,signal
19258,19260,1.3705588908773043,1.3705588908773043,BUY,0.0,0.08,-0.08,signal
19262,19263,1.3705588908773043,1.3705588908773043,BUY,0.0,0.08,-0.08,signal
19265,19267,1.3705588908773043,1.3705588908773043,BUY,0.0,0.08,-0.08,signal
19504,19512,1.540755310253557,1.540755310253557,BUY,0.0,0.08,-0.08,signal
19619,19620,1.540755310253557,1.540755310253557,BUY,0.0,0.08,-0.08,signal
19707,19708,1.5045357012299243,1.5045357012299243,BUY,0.0,0.08,-0.08,signal
19920,19926,1.5530866574045892,1.5530866574045892,BUY,0.0,0.08,-0.08,signal
19929,19935,1.5530866574045892,1.5530866574045892,BUY,0.0,0.08,-0.08,signal
19937,19952,1.5530866574045892,1.5530866574045892,BUY,0.0,0.08,-0.08,signal
